城市1,城市2,连接状态
北京,上海,0
北京,天津,1
北京,重庆,0
北京,哈尔滨,0
北京,长春,0
北京,沈阳,0
北京,呼和浩特,0
北京,石家庄,1
北京,太原,0
北京,济南,0
北京,郑州,0
北京,西安,0
北京,兰州,0
北京,银川,0
北京,西宁,0
北京,乌鲁木齐,0
北京,合肥,0
北京,南京,0
北京,杭州,0
北京,长沙,0
北京,南昌,0
北京,武汉,0
北京,成都,0
北京,贵阳,0
北京,福州,0
北京,台北,0
北京,广州,0
北京,海口,0
北京,南宁,0
北京,昆明,0
北京,拉萨,0
北京,香港,0
北京,澳门,0
上海,北京,0
上海,天津,0
上海,重庆,0
上海,哈尔滨,0
上海,长春,0
上海,沈阳,0
上海,呼和浩特,0
上海,石家庄,0
上海,太原,0
上海,济南,0
上海,郑州,0
上海,西安,0
上海,兰州,0
上海,银川,0
上海,西宁,0
上海,乌鲁木齐,0
上海,合肥,0
上海,南京,1
上海,杭州,1
上海,长沙,0
上海,南昌,0
上海,武汉,0
上海,成都,0
上海,贵阳,0
上海,福州,0
上海,台北,0
上海,广州,0
上海,海口,0
上海,南宁,0
上海,昆明,0
上海,拉萨,0
上海,香港,0
上海,澳门,0
天津,北京,1
天津,上海,0
天津,重庆,0
天津,哈尔滨,0
天津,长春,0
天津,沈阳,0
天津,呼和浩特,0
天津,石家庄,1
天津,太原,0
天津,济南,0
天津,郑州,0
天津,西安,0
天津,兰州,0
天津,银川,0
天津,西宁,0
天津,乌鲁木齐,0
天津,合肥,0
天津,南京,0
天津,杭州,0
天津,长沙,0
天津,南昌,0
天津,武汉,0
天津,成都,0
天津,贵阳,0
天津,福州,0
天津,台北,0
天津,广州,0
天津,海口,0
天津,南宁,0
天津,昆明,0
天津,拉萨,0
天津,香港,0
天津,澳门,0
重庆,北京,0
重庆,上海,0
重庆,天津,0
重庆,哈尔滨,0
重庆,长春,0
重庆,沈阳,0
重庆,呼和浩特,0
重庆,石家庄,0
重庆,太原,0
重庆,济南,0
重庆,郑州,0
重庆,西安,1
重庆,兰州,0
重庆,银川,0
重庆,西宁,0
重庆,乌鲁木齐,0
重庆,合肥,0
重庆,南京,0
重庆,杭州,0
重庆,长沙,1
重庆,南昌,0
重庆,武汉,1
重庆,成都,1
重庆,贵阳,1
重庆,福州,0
重庆,台北,0
重庆,广州,0
重庆,海口,0
重庆,南宁,0
重庆,昆明,0
重庆,拉萨,0
重庆,香港,0
重庆,澳门,0
哈尔滨,北京,0
哈尔滨,上海,0
哈尔滨,天津,0
哈尔滨,重庆,0
哈尔滨,长春,1
哈尔滨,沈阳,0
哈尔滨,呼和浩特,1
哈尔滨,石家庄,0
哈尔滨,太原,0
哈尔滨,济南,0
哈尔滨,郑州,0
哈尔滨,西安,0
哈尔滨,兰州,0
哈尔滨,银川,0
哈尔滨,西宁,0
哈尔滨,乌鲁木齐,0
哈尔滨,合肥,0
哈尔滨,南京,0
哈尔滨,杭州,0
哈尔滨,长沙,0
哈尔滨,南昌,0
哈尔滨,武汉,0
哈尔滨,成都,0
哈尔滨,贵阳,0
哈尔滨,福州,0
哈尔滨,台北,0
哈尔滨,广州,0
哈尔滨,海口,0
哈尔滨,南宁,0
哈尔滨,昆明,0
哈尔滨,拉萨,0
哈尔滨,香港,0
哈尔滨,澳门,0
长春,北京,0
长春,上海,0
长春,天津,0
长春,重庆,0
长春,哈尔滨,1
长春,沈阳,1
长春,呼和浩特,1
长春,石家庄,0
长春,太原,0
长春,济南,0
长春,郑州,0
长春,西安,0
长春,兰州,0
长春,银川,0
长春,西宁,0
长春,乌鲁木齐,0
长春,合肥,0
长春,南京,0
长春,杭州,0
长春,长沙,0
长春,南昌,0
长春,武汉,0
长春,成都,0
长春,贵阳,0
长春,福州,0
长春,台北,0
长春,广州,0
长春,海口,0
长春,南宁,0
长春,昆明,0
长春,拉萨,0
长春,香港,0
长春,澳门,0
沈阳,北京,0
沈阳,上海,0
沈阳,天津,0
沈阳,重庆,0
沈阳,哈尔滨,0
沈阳,长春,1
沈阳,呼和浩特,1
沈阳,石家庄,1
沈阳,太原,0
沈阳,济南,0
沈阳,郑州,0
沈阳,西安,0
沈阳,兰州,0
沈阳,银川,0
沈阳,西宁,0
沈阳,乌鲁木齐,0
沈阳,合肥,0
沈阳,南京,0
沈阳,杭州,0
沈阳,长沙,0
沈阳,南昌,0
沈阳,武汉,0
沈阳,成都,0
沈阳,贵阳,0
沈阳,福州,0
沈阳,台北,0
沈阳,广州,0
沈阳,海口,0
沈阳,南宁,0
沈阳,昆明,0
沈阳,拉萨,0
沈阳,香港,0
沈阳,澳门,0
呼和浩特,北京,0
呼和浩特,上海,0
呼和浩特,天津,0
呼和浩特,重庆,0
呼和浩特,哈尔滨,1
呼和浩特,长春,1
呼和浩特,沈阳,1
呼和浩特,石家庄,1
呼和浩特,太原,1
呼和浩特,济南,0
呼和浩特,郑州,0
呼和浩特,西安,1
呼和浩特,兰州,1
呼和浩特,银川,1
呼和浩特,西宁,0
呼和浩特,乌鲁木齐,0
呼和浩特,合肥,0
呼和浩特,南京,0
呼和浩特,杭州,0
呼和浩特,长沙,0
呼和浩特,南昌,0
呼和浩特,武汉,0
呼和浩特,成都,0
呼和浩特,贵阳,0
呼和浩特,福州,0
呼和浩特,台北,0
呼和浩特,广州,0
呼和浩特,海口,0
呼和浩特,南宁,0
呼和浩特,昆明,0
呼和浩特,拉萨,0
呼和浩特,香港,0
呼和浩特,澳门,0
石家庄,北京,1
石家庄,上海,0
石家庄,天津,1
石家庄,重庆,0
石家庄,哈尔滨,0
石家庄,长春,0
石家庄,沈阳,1
石家庄,呼和浩特,1
石家庄,太原,1
石家庄,济南,1
石家庄,郑州,1
石家庄,西安,0
石家庄,兰州,0
石家庄,银川,0
石家庄,西宁,0
石家庄,乌鲁木齐,0
石家庄,合肥,0
石家庄,南京,0
石家庄,杭州,0
石家庄,长沙,0
石家庄,南昌,0
石家庄,武汉,0
石家庄,成都,0
石家庄,贵阳,0
石家庄,福州,0
石家庄,台北,0
石家庄,广州,0
石家庄,海口,0
石家庄,南宁,0
石家庄,昆明,0
石家庄,拉萨,0
石家庄,香港,0
石家庄,澳门,0
太原,北京,0
太原,上海,0
太原,天津,0
太原,重庆,0
太原,哈尔滨,0
太原,长春,0
太原,沈阳,0
太原,呼和浩特,1
太原,石家庄,1
太原,济南,0
太原,郑州,1
太原,西安,1
太原,兰州,0
太原,银川,0
太原,西宁,0
太原,乌鲁木齐,0
太原,合肥,0
太原,南京,0
太原,杭州,0
太原,长沙,0
太原,南昌,0
太原,武汉,0
太原,成都,0
太原,贵阳,0
太原,福州,0
太原,台北,0
太原,广州,0
太原,海口,0
太原,南宁,0
太原,昆明,0
太原,拉萨,0
太原,香港,0
太原,澳门,0
济南,北京,0
济南,上海,0
济南,天津,0
济南,重庆,0
济南,哈尔滨,0
济南,长春,0
济南,沈阳,0
济南,呼和浩特,0
济南,石家庄,1
济南,太原,0
济南,郑州,1
济南,西安,0
济南,兰州,0
济南,银川,0
济南,西宁,0
济南,乌鲁木齐,0
济南,合肥,1
济南,南京,1
济南,杭州,0
济南,长沙,0
济南,南昌,0
济南,武汉,0
济南,成都,0
济南,贵阳,0
济南,福州,0
济南,台北,0
济南,广州,0
济南,海口,0
济南,南宁,0
济南,昆明,0
济南,拉萨,0
济南,香港,0
济南,澳门,0
郑州,北京,0
郑州,上海,0
郑州,天津,0
郑州,重庆,0
郑州,哈尔滨,0
郑州,长春,0
郑州,沈阳,0
郑州,呼和浩特,0
郑州,石家庄,1
郑州,太原,1
郑州,济南,1
郑州,西安,1
郑州,兰州,0
郑州,银川,0
郑州,西宁,0
郑州,乌鲁木齐,0
郑州,合肥,1
郑州,南京,0
郑州,杭州,0
郑州,长沙,0
郑州,南昌,0
郑州,武汉,1
郑州,成都,0
郑州,贵阳,0
郑州,福州,0
郑州,台北,0
郑州,广州,0
郑州,海口,0
郑州,南宁,0
郑州,昆明,0
郑州,拉萨,0
郑州,香港,0
郑州,澳门,0
西安,北京,0
西安,上海,0
西安,天津,0
西安,重庆,1
西安,哈尔滨,0
西安,长春,0
西安,沈阳,0
西安,呼和浩特,1
西安,石家庄,0
西安,太原,1
西安,济南,0
西安,郑州,1
西安,兰州,1
西安,银川,1
西安,西宁,0
西安,乌鲁木齐,0
西安,合肥,0
西安,南京,0
西安,杭州,0
西安,长沙,0
西安,南昌,0
西安,武汉,1
西安,成都,1
西安,贵阳,0
西安,福州,0
西安,台北,0
西安,广州,0
西安,海口,0
西安,南宁,0
西安,昆明,0
西安,拉萨,0
西安,香港,0
西安,澳门,0
兰州,北京,0
兰州,上海,0
兰州,天津,0
兰州,重庆,0
兰州,哈尔滨,0
兰州,长春,0
兰州,沈阳,0
兰州,呼和浩特,1
兰州,石家庄,0
兰州,太原,0
兰州,济南,0
兰州,郑州,0
兰州,西安,1
兰州,银川,1
兰州,西宁,1
兰州,乌鲁木齐,1
兰州,合肥,0
兰州,南京,0
兰州,杭州,0
兰州,长沙,0
兰州,南昌,0
兰州,武汉,0
兰州,成都,1
兰州,贵阳,0
兰州,福州,0
兰州,台北,0
兰州,广州,0
兰州,海口,0
兰州,南宁,0
兰州,昆明,0
兰州,拉萨,0
兰州,香港,0
兰州,澳门,0
银川,北京,0
银川,上海,0
银川,天津,0
银川,重庆,0
银川,哈尔滨,0
银川,长春,0
银川,沈阳,0
银川,呼和浩特,1
银川,石家庄,0
银川,太原,0
银川,济南,0
银川,郑州,0
银川,西安,1
银川,兰州,1
银川,西宁,0
银川,乌鲁木齐,0
银川,合肥,0
银川,南京,0
银川,杭州,0
银川,长沙,0
银川,南昌,0
银川,武汉,0
银川,成都,0
银川,贵阳,0
银川,福州,0
银川,台北,0
银川,广州,0
银川,海口,0
银川,南宁,0
银川,昆明,0
银川,拉萨,0
银川,香港,0
银川,澳门,0
西宁,北京,0
西宁,上海,0
西宁,天津,0
西宁,重庆,0
西宁,哈尔滨,0
西宁,长春,0
西宁,沈阳,0
西宁,呼和浩特,0
西宁,石家庄,0
西宁,太原,0
西宁,济南,0
西宁,郑州,0
西宁,西安,0
西宁,兰州,1
西宁,银川,0
西宁,乌鲁木齐,1
西宁,合肥,0
西宁,南京,0
西宁,杭州,0
西宁,长沙,0
西宁,南昌,0
西宁,武汉,0
西宁,成都,1
西宁,贵阳,0
西宁,福州,0
西宁,台北,0
西宁,广州,0
西宁,海口,0
西宁,南宁,0
西宁,昆明,0
西宁,拉萨,1
西宁,香港,0
西宁,澳门,0
乌鲁木齐,北京,0
乌鲁木齐,上海,0
乌鲁木齐,天津,0
乌鲁木齐,重庆,0
乌鲁木齐,哈尔滨,0
乌鲁木齐,长春,0
乌鲁木齐,沈阳,0
乌鲁木齐,呼和浩特,0
乌鲁木齐,石家庄,0
乌鲁木齐,太原,0
乌鲁木齐,济南,0
乌鲁木齐,郑州,0
乌鲁木齐,西安,0
乌鲁木齐,兰州,1
乌鲁木齐,银川,0
乌鲁木齐,西宁,1
乌鲁木齐,合肥,0
乌鲁木齐,南京,0
乌鲁木齐,杭州,0
乌鲁木齐,长沙,0
乌鲁木齐,南昌,0
乌鲁木齐,武汉,0
乌鲁木齐,成都,0
乌鲁木齐,贵阳,0
乌鲁木齐,福州,0
乌鲁木齐,台北,0
乌鲁木齐,广州,0
乌鲁木齐,海口,0
乌鲁木齐,南宁,0
乌鲁木齐,昆明,0
乌鲁木齐,拉萨,1
乌鲁木齐,香港,0
乌鲁木齐,澳门,0
合肥,北京,0
合肥,上海,0
合肥,天津,0
合肥,重庆,0
合肥,哈尔滨,0
合肥,长春,0
合肥,沈阳,0
合肥,呼和浩特,0
合肥,石家庄,0
合肥,太原,0
合肥,济南,1
合肥,郑州,1
合肥,西安,0
合肥,兰州,0
合肥,银川,0
合肥,西宁,0
合肥,乌鲁木齐,0
合肥,南京,1
合肥,杭州,1
合肥,长沙,0
合肥,南昌,1
合肥,武汉,1
合肥,成都,0
合肥,贵阳,0
合肥,福州,0
合肥,台北,0
合肥,广州,0
合肥,海口,0
合肥,南宁,0
合肥,昆明,0
合肥,拉萨,0
合肥,香港,0
合肥,澳门,0
南京,北京,0
南京,上海,1
南京,天津,0
南京,重庆,0
南京,哈尔滨,0
南京,长春,0
南京,沈阳,0
南京,呼和浩特,0
南京,石家庄,0
南京,太原,0
南京,济南,1
南京,郑州,0
南京,西安,0
南京,兰州,0
南京,银川,0
南京,西宁,0
南京,乌鲁木齐,0
南京,合肥,1
南京,杭州,1
南京,长沙,0
南京,南昌,0
南京,武汉,0
南京,成都,0
南京,贵阳,0
南京,福州,0
南京,台北,0
南京,广州,0
南京,海口,0
南京,南宁,0
南京,昆明,0
南京,拉萨,0
南京,香港,0
南京,澳门,0
杭州,北京,0
杭州,上海,1
杭州,天津,0
杭州,重庆,0
杭州,哈尔滨,0
杭州,长春,0
杭州,沈阳,0
杭州,呼和浩特,0
杭州,石家庄,0
杭州,太原,0
杭州,济南,0
杭州,郑州,0
杭州,西安,0
杭州,兰州,0
杭州,银川,0
杭州,西宁,0
杭州,乌鲁木齐,0
杭州,合肥,1
杭州,南京,1
杭州,长沙,0
杭州,南昌,1
杭州,武汉,0
杭州,成都,0
杭州,贵阳,0
杭州,福州,1
杭州,台北,0
杭州,广州,0
杭州,海口,0
杭州,南宁,0
杭州,昆明,0
杭州,拉萨,0
杭州,香港,0
杭州,澳门,0
长沙,北京,0
长沙,上海,0
长沙,天津,0
长沙,重庆,1
长沙,哈尔滨,0
长沙,长春,0
长沙,沈阳,0
长沙,呼和浩特,0
长沙,石家庄,0
长沙,太原,0
长沙,济南,0
长沙,郑州,0
长沙,西安,0
长沙,兰州,0
长沙,银川,0
长沙,西宁,0
长沙,乌鲁木齐,0
长沙,合肥,0
长沙,南京,0
长沙,杭州,0
长沙,南昌,1
长沙,武汉,1
长沙,成都,0
长沙,贵阳,1
长沙,福州,0
长沙,台北,0
长沙,广州,1
长沙,海口,0
长沙,南宁,1
长沙,昆明,0
长沙,拉萨,0
长沙,香港,0
长沙,澳门,0
南昌,北京,0
南昌,上海,0
南昌,天津,0
南昌,重庆,0
南昌,哈尔滨,0
南昌,长春,0
南昌,沈阳,0
南昌,呼和浩特,0
南昌,石家庄,0
南昌,太原,0
南昌,济南,0
南昌,郑州,0
南昌,西安,0
南昌,兰州,0
南昌,银川,0
南昌,西宁,0
南昌,乌鲁木齐,0
南昌,合肥,1
南昌,南京,0
南昌,杭州,1
南昌,长沙,1
南昌,武汉,1
南昌,成都,0
南昌,贵阳,0
南昌,福州,1
南昌,台北,0
南昌,广州,1
南昌,海口,0
南昌,南宁,0
南昌,昆明,0
南昌,拉萨,0
南昌,香港,0
南昌,澳门,0
武汉,北京,0
武汉,上海,0
武汉,天津,0
武汉,重庆,1
武汉,哈尔滨,0
武汉,长春,0
武汉,沈阳,0
武汉,呼和浩特,0
武汉,石家庄,0
武汉,太原,0
武汉,济南,0
武汉,郑州,1
武汉,西安,1
武汉,兰州,0
武汉,银川,0
武汉,西宁,0
武汉,乌鲁木齐,0
武汉,合肥,1
武汉,南京,0
武汉,杭州,0
武汉,长沙,1
武汉,南昌,1
武汉,成都,0
武汉,贵阳,0
武汉,福州,0
武汉,台北,0
武汉,广州,0
武汉,海口,0
武汉,南宁,0
武汉,昆明,0
武汉,拉萨,0
武汉,香港,0
武汉,澳门,0
成都,北京,0
成都,上海,0
成都,天津,0
成都,重庆,1
成都,哈尔滨,0
成都,长春,0
成都,沈阳,0
成都,呼和浩特,0
成都,石家庄,0
成都,太原,0
成都,济南,0
成都,郑州,0
成都,西安,1
成都,兰州,1
成都,银川,0
成都,西宁,1
成都,乌鲁木齐,0
成都,合肥,0
成都,南京,0
成都,杭州,0
成都,长沙,0
成都,南昌,0
成都,武汉,0
成都,贵阳,1
成都,福州,0
成都,台北,0
成都,广州,0
成都,海口,0
成都,南宁,0
成都,昆明,1
成都,拉萨,1
成都,香港,0
成都,澳门,0
贵阳,北京,0
贵阳,上海,0
贵阳,天津,0
贵阳,重庆,1
贵阳,哈尔滨,0
贵阳,长春,0
贵阳,沈阳,0
贵阳,呼和浩特,0
贵阳,石家庄,0
贵阳,太原,0
贵阳,济南,0
贵阳,郑州,0
贵阳,西安,0
贵阳,兰州,0
贵阳,银川,0
贵阳,西宁,0
贵阳,乌鲁木齐,0
贵阳,合肥,0
贵阳,南京,0
贵阳,杭州,0
贵阳,长沙,1
贵阳,南昌,0
贵阳,武汉,0
贵阳,成都,1
贵阳,福州,0
贵阳,台北,0
贵阳,广州,0
贵阳,海口,0
贵阳,南宁,1
贵阳,昆明,1
贵阳,拉萨,0
贵阳,香港,0
贵阳,澳门,0
福州,北京,0
福州,上海,0
福州,天津,0
福州,重庆,0
福州,哈尔滨,0
福州,长春,0
福州,沈阳,0
福州,呼和浩特,0
福州,石家庄,0
福州,太原,0
福州,济南,0
福州,郑州,0
福州,西安,0
福州,兰州,0
福州,银川,0
福州,西宁,0
福州,乌鲁木齐,0
福州,合肥,0
福州,南京,0
福州,杭州,1
福州,长沙,0
福州,南昌,1
福州,武汉,0
福州,成都,0
福州,贵阳,0
福州,台北,1
福州,广州,1
福州,海口,0
福州,南宁,0
福州,昆明,0
福州,拉萨,0
福州,香港,0
福州,澳门,0
台北,北京,0
台北,上海,0
台北,天津,0
台北,重庆,0
台北,哈尔滨,0
台北,长春,0
台北,沈阳,0
台北,呼和浩特,0
台北,石家庄,0
台北,太原,0
台北,济南,0
台北,郑州,0
台北,西安,0
台北,兰州,0
台北,银川,0
台北,西宁,0
台北,乌鲁木齐,0
台北,合肥,0
台北,南京,0
台北,杭州,0
台北,长沙,0
台北,南昌,0
台北,武汉,0
台北,成都,0
台北,贵阳,0
台北,福州,1
台北,广州,0
台北,海口,0
台北,南宁,0
台北,昆明,0
台北,拉萨,0
台北,香港,0
台北,澳门,0
广州,北京,0
广州,上海,0
广州,天津,0
广州,重庆,0
广州,哈尔滨,0
广州,长春,0
广州,沈阳,0
广州,呼和浩特,0
广州,石家庄,0
广州,太原,0
广州,济南,0
广州,郑州,0
广州,西安,0
广州,兰州,0
广州,银川,0
